lat,lon
32.0437293242,-81.0066087245
32.0439896548,-81.0070005557
32.072694225,-81.0838961775
32.0755572138,-81.0969481786
32.0523912257,-81.099457015
32.0519327542,-81.0995477978
32.0519327542,-81.0995477978
32.0519327542,-81.0995477978
32.0519327542,-81.0995477978
32.0697313717,-81.1064525018
32.0126450311,-80.8418629704
32.0137929537,-80.8457311729
32.0323814733,-80.9810381818
32.0438889762,-81.0051006964
32.0474747244,-81.0079311194
32.0355598154,-81.0098608748
32.0553727762,-81.017046404
32.0556489983,-81.0173695492
32.0454440838,-81.0503625541
32.0454189765,-81.0510160644
32.0315232611,-80.9725392113
32.0315232611,-80.9725392113
32.0315232611,-80.9725392113
32.0315232611,-80.9725392113
32.0686110512,-81.1016626602
32.0606777962,-81.1110821431
32.126044463,-81.1835845058
32.1194270899,-81.1892866558
32.1194270899,-81.1892866558
32.1194270899,-81.1892866558
